stars,comment
2.0 out of 5 stars,"







  
  
    So I really liked the versatility of this vacuum.... the long stick was very helpful to use under beds and furniture, After like one week the motor started making a loud noise. I cleaned the vacuum after each use, so that was not the problem, and soon it just stopped working.... burn smell. Motor was done. Took it back to Bed bath and beyond and replaced it for the same one cause I liked it, It worked for a good 6 months and then same exact thing happen. So I am done with any Shark. Im looking for another brand with similar description
  
"
2.0 out of 5 stars,"







  
  
    Does it clean well. Definitely, except on hardwoods, it slides all over, hard to control. I very seldom use it.  My Shark Navigator works better.  The vacuum is extremely top heavy since the motor is at top.  Because of the location of the motor, it blows hot air onto your chest/middle during use. Since it doesn’t stand up alone, you must find a place to lean it which usually means it will slip to floor.The ad was great sounding but I wasted $$$$on a poorly designed vacumn.  Not my first rodeo, I’ve owned vacs for 52 yrs. This is the worse  for sure.
  
"
2.0 out of 5 stars,"







  
  
    I have had this thing for about a year and am disappointed.  Yes it ""works"", but there are so many things I don't like about it I thought I would pass along since this has gotten really positive reviews overall. That's why I bought it and you should know before you do:1) It doesnt stand up on its own when you put the head on the stick, which is annoying when you need to stop for a minute to move the plug, etc. It's too top heavy when fully assembled.2) The empty dust bin is configured so oddly - you just end up getting all the gross stuff all over your hand when you open the dispenser which is disgusting, the way it has to be opened and held.3) It's got a very small container that needs emptied almost every time I vacuum - and my house is only 1200 sf.4) It just doesn't have the greatest suction. Even when on a 100% clean bin I run the vacuum, afterwards I see left over particles on both the rug and the hardwood/tile floors.Overall, just OK but I was disappointed and probably won't buy another Shark product.
  
"
2.0 out of 5 stars,"







  
  
    I was so excited to see this on sale for Black Friday. I wanted to get one for a while. It works great and picked up so much dirt. However, it only gets 2 stars because it is way too too heavy with the canister being on the handle. It hurt my hand and arm to use it for only a few min. The actually handle that your hand goes into is very uncomfortable and hurts the top of your hand when pushing the vacuum. The vacuum head that goes on the floor is very small and it’s so powerful with pulling that it’s hard to know that you got the whole carpet because it swivels too easily and doesn’t go in a straight line. The canister is also the part that is attached to the cord and since it’s so small you have to empty it after each room and unplug it to carry it to the garbage then re plug it in and reattach it to the vacuum. I would still like a shark vacuum since it’s so good at cleaning but I’m going to return this one for one with the canister on the bottom like a regular vacuum. I’m sad I have to take it back since it had such great reviews and I was very excited to buy it. I hope the next one I get is much easier to use.
  
"
2.0 out of 5 stars,"







  
  
    I own two Shark Navigator upright vacuum cleaners and use them for both hard floor and carpet/rugs.  This is a simple review comparing the Navigator to the Rocket.Cons against Rocket:1)  The dust canister is very small compared to the one for Navigator.2)  The dust canister is not removable from the motor and the electrical cord.  In order to dump the content of the dust canister in the garage, I have to take the main unit plus the cord out to the garage.  I definitely don't recommend cleaning out the dust canister in your living area.3)  It's true that Navigator is heavier compared to the Rocket.  But I use an attachment for cleaning the bare floor, and maneuvering the attachment is so much easier than doing it with the Rocket.  In order words, I use the Navigator like it is a canister vacuum.  My left hand drags the vacuum, and my right hand maneuvers the floor attachment.  It is a fast and powerful job.4)  Rocket has much less suction than Navigator.Pro:1)  Rocket is smaller than Navigator.I didn't give this item one star because if someone were to give it to me for free or nearly free, I would keep it.  But at over $100, it is not a keeper.
  
"
2.0 out of 5 stars,"







  
  
    I’ve had this vacuum for a few years. It worked great as a floor cleaner. I found it difficult to use in small places since it does not have a hose. Last week the door for the dust cup came off dropping dirt all over my carpet. The plastic that holds on the screw broke so it’s not repairable.  Very disappointing.
  
"
2.0 out of 5 stars,"







  
  
    Yes, it's a super-light upright bagless with great suction, but it has more cons than pros.  You've read the good.  Here are the problems that make me regret this purchase.  It is very cheaply and flimsily constructed.  I had to return two of these, within a month, for problems.  The first one's rotating brush stopped working after about a week of use.  The second one had a short that made the engine cut off in the middle of the job.  Now, the third one, which I've had too long to return for replacement, had the door to the dust compartment fall off.  It had fallen off before, when the pin slipped out, but this time it couldn't be repaired due to its flimsy construction.  (The door's metal pin fits into two tiny, thin plastic eyelets that are sure to snap off after emptying the unit a few times, even when it's done carefully.  The inertia from the automatic flip open, upon releasing the catch, is enough to snap them right in two.)  Now for the pick up problem.  When the vacuum is used in the upright position, with the brush spinning, it only picks up correctly when it's pushed forward.  When the unit is pulled backward, (as all vacuums must be when they are in use,) the brush shoots the dust and debris that it passes over out of the rear of the machine.
  
"
2.0 out of 5 stars,"







  
  
    It's decent, the brush works great but this thing has weak suction power.  Without the brush on the main part if the vacuum,  it's not good for using accessories because the suction power is so weak.Also this is nice for smaller houses or apt. Don't bother if you have a house bigger than 1800 Sq ft.I honestly dont get why people love this vacuum, I couldnt even pick up pine needles from the Christmas tree, they got picked up but they didnt get sucked in all the way to the bagless disposer, when I shook the vacuum all the pine needles fell out.Without the brush this thing is worthless, zero power using accessories.
  
"
2.0 out of 5 stars,"







  
  
    way too heavy for me to handle. The motor on top makes it top heavy so can't even maneuver it.....
  
"
2.0 out of 5 stars,"







  
  
    Vacuum works fine. Royal pain emptying the vac without making a 'dust cloud' mess.
  
"
2.0 out of 5 stars,"







  
  
    It seems like the sweeper is falling apart and broken
  
"
2.0 out of 5 stars,"







  
  
    Hard to manuver and heavier that I wanted.  Returned it.
  
"
2.0 out of 5 stars,"







  
  
    I ordered this based on the reviews here but will be sending it back.  It does indeed vacuum well like people said.  However, it is ridiculously heavy and awkward.  The handle is so long that I have to hold my hand way up in the air just to use it, my arm sticking up and out like a chicken wing.  It's super awkward and gets very uncomfortable because there is nothing ""ultra-light"" about this vacuum at all...  it's heavy.  It also doesn't stand up on it's own.  You have to lean it up against something (or use the wall attachment).  This is super inconvenient as I often have to stop vacuuming for a few minutes to tend to my kids and I can't just stop where I am and leave this vacuum.  I really wanted to like it but it's so awkward and heavy that it's going back.
  
"
2.0 out of 5 stars,"







  
  
    I bought this a couple of months ago and only use it on the hardwoods because it is quick and agile. BUT there is no little kickstand or anything to help you stand it UP when you are stopping to unplug it, etc. Seriously- the motor at the top tips it over, and it is heavy enough that I stay away from the sheetrocked walls, and just lay it down on the floor- then I have to stoop back over to get it up. They should be CLEAR about this. It is majorly inconvenient and a simple, sturdy,  tripod snap on would help keep it upright. I have a full size shark and I love it. I got this to go under things, and to a certain extent, it does. But what a PAIN to have to lean it up against things and worry about banging it into a floor or wall. If I hadn't already used it a few times and gotten rid of the box, I would have returned it to amazon.UPDATE- I didn't straighten out the picture in the manual in the picture below, but it CLEARLY states ""this vacuum does NOT stand up on its own"" along with the usual personal injury warning.  I got a reply from sharp via amazon email- and the person didn't seem to even notice their own warning on page 7. He said to look at the convenient hook option on page 13- which is the accessories page! So, just take it from me, You cannot stand this unit up - it is too top heavy. I would assume that without a tripod or kickstand, all top heavy  units like this cannot stand alone.
  
"
2.0 out of 5 stars,"







  
  
    I am starting to have a lot of problems with this vacuum. At first it was awesome. I have been using it for about 6 months now and i clean it properly but it is getting clogged really easy and throwing dust and dirt back out. It also stirs up a lot of dust without actually sucking it up. I am disappointed in this vacuum.
  
"
2.0 out of 5 stars,"







  
  
    The dust cup lock is broke. I've only had it a little over a month.i cannot return it after 1mo. Now I have to tape it shut so dirt doesn't fall out. Also it does not have a removable dirt container. You have to unplug it take the whole thing to the trash or remove the motor part and take that over.
  
"
2.0 out of 5 stars,"







  
  
    So disappointed in this vacuum.  I have been a Shark product customer for at least 14 years, and have made numerous referrals and given Shark products as gifts.  I've believed for years the Shark products are the best on the market at their price point.  Unfortunately, this model does not live up to that reputation.  My last vacuum was the Navigator II design, and it performed very well - strong suction and held a firm seal on the floor.  This model, the Ultra-Light Upright, does not hold a seal, has no strength at the edge, and fails miserably in power.  Very disappointed in its performance and would not recommend.
  
"
2.0 out of 5 stars,"







  
  
    I'll admit I'm not extremely buff, and I'm not a crossfit person.  But I'm pretty fit, have 2 young kids, and don't think of myself as a couch slug either.  However, this vacuum is SO HEAVY.  After 15 minutes of switching hands the whole time, my shoulders are sore.  I can't even imagine cleaning the ceilings like the adds.  And I wouldn't want to vacuum the stairs either.  Ha.  You can even see from the pictures that all the weight is in the handle, and it won't stand on it's own -- it tips over.  On one hand, I guess this is a good form of exercise for a New Year's Resolution.
  
"
2.0 out of 5 stars,"







  
  
    FELL FOR IT..Use setting is.. 2600SQFT multi-level home. 1s floor all hardwood. A 18x23ft family room. carpetBDRM 1-4 all carpet and upstairs hall and loft carpet. Family of 6 wife,hubby work 9-5. all that to say we use the Shark Rocket @ least 2-4 times a week. less during school days no ones really home. We noticed after the 1st 6months of owning the shark..it would lose suction quickly. We know to clean collection bin and filter.. and we now have to do that in the middle of sweeping just 1 room. I can only sweep half the family room before it loses suction. so a 7-10 min sweep job turns into 20-25 minutes. This is unacceptable.. So do i recommend this to a potential buyer?? ONLY if you are in a SMALL apartment OR if your going to designate it's use to one level or large room. If you have a larger housing over 100sqft.. i would recommend getting a larger upright that can handle larger areas and more rooms.II give it 2 star for misleading it's abilities to be a superb stand-alone sweeper..when in fact for an average size house,,you will need a larger capacity sweeper to assist.UPDATE:I discovers that this sweeper has 2 filters. A thick piece of foam and think cloth like piece right under the foam. Most likely the hepa filter. The combination of the two actually diminishes the suction. I removed the hepa-filter and the suction is waaayyy much better. Since we have no pets and is used in a low traffic area. It made for better use on hard surfaces as well as carpet.
  
"
2.0 out of 5 stars,"







  
  
    Gets clogged insanely easy
  
"
2.0 out of 5 stars,"







  
  
    Bought this about 4 months ago and the wive HATES it.  Constantly clogs (we have 2 dogs) and you need to break-down the whole assembly to get to the culprit.  It could be clogged in the base, the extension tube, or most likely the tube connecting the extension to the base.  Wife is miserable and I am now forbidden from buying vacuums again (things could be worse!)  This thing is about to hit craigs list.  I think its more appropriate for a single person without pets in an apartment.
  
"
2.0 out of 5 stars,"







  
  
    I was told that by someone that they liked this better than their dyson. Well I don't think so! It doesn't even come close!  It feels cheap and flimsy. The suction is ok. I have to go over things twice. It self propels too much. It takes off on you just like its name ""rocket"" which leaves it harder to control even when I have it on the lowest setting. My arm hurts after I'm done. The sweep is very narrow, more time vacuuming. Small collection canister. Have to empty twice. The only thing I like is that I can vacum under the bed.
  
"
2.0 out of 5 stars,"







  
  
    I've had the dust collector bin break twice. The hinge is made of cheap, thin plastic, so over time it will break.I've owned my Shark for over 2 years.
  
"
2.0 out of 5 stars,"







  
  
    The rocket is supposed to be lightweight, flexible and powerful. It's definitely powerful, but it's unwieldy, the capacity isn't great and it doesn't corner as well as they would have you believe.I don't find it easy to store. In some ways, it's a victim of trying to serve the needs of a hand-held while trying to be as durable as an upright.I'm sticking with my hoover and telling others that you really need to decide your preference.
  
"
2.0 out of 5 stars,"







  
  
    I would not describe this vacuum as lightweight by any means.  As a matter of fact, I thought the top part was so heavy that it hurt my arm and should to use it, and I am in good shape.  I would not recommend this vacuum if you are looking for something ""Ultralight"" because it is far from that.
  
"
2.0 out of 5 stars,"







  
  
    You gotta be fun king kidding me! A cordless one that has more than enough power & versatility is the ONLY way to go! PASS!
  
"
2.0 out of 5 stars,"







  
  
    NOT WORTH THE MONEY
  
"
2.0 out of 5 stars,"







  
  
    Worst vacuum I've ever bought. Stupid loud! Im talking like you have to where ear plugs or suffer hearing damage. On top of that the waste compartment is tiny, have to empty it out multiple times just to finish cleaning one room. The wife wanted it for cleaning the stairs because its light, not worth the price at all!
  
"
2.0 out of 5 stars,"







  
  
    Now that we owned this for 6 months plus I feel like I can give an accurate review. I'm not impressed its constantly getting clogged and doesn't work like it did when we first got it. Looses suction all the time, and I have to constantly clean the filters and break apart the entire vacuum to get it to work correctly ( by constantly I mean every time I use it). I do like the slim concept and it easily cleans under couches etc.. ,but I don't like the distribution of weight I find it to get heavy after I've used for a period of time.Mom of 3 and 2 large shedding dogs.
  
"
2.0 out of 5 stars,"







  
  
    I cannot handle it. Needs a harness to hold it. Cord could be flexible. IT does a good job , without the rug attachment it works well. I am sorryI was looking forward to something being easier to use.. I have teh vacuum cleaner and rechargeable sweeper and they are both great.
  
"
2.0 out of 5 stars,"







  
  
    It does get up the debree however after a few minutes vacuuming my arm was getting sore.  All the weight is at the top
  
"
2.0 out of 5 stars,"







  
  
    We received the vacuum and are very happy with it. I took stars off because we had expected an HV302 as advertised. I did very careful research into the models from HV300 to HV301 and HV302 and made this purchase based on the fact that it was supposed to be a model HV302. It makes me feel somewhat deceived. I wish there were a way to contact the seller and ask what is up with that. I can get an HV301 for the same dollar amount, but an improved model.
  
"
2.0 out of 5 stars,"







  
  
    I'm torn about this vacuum. It is good at what it does as far as suction and it does get under and around furniture fairly well, (it is a bit hard to maneuver) but is extremely heavy and hard for me to use. I'm debating sending it back. I'm 52 years old and healthy, but this wears my arm out!  No way could the picture of the woman holding it up vacuuming above her head work.  After using it I feel like I've been to the car wash using the wand to wash my car. My shoulder was very sore the next day. All the weight is in the top and you must hold it up the whole time. It won't stand alone and it pulls itself along quite strongly, so I feel like I'm fighting it the whole time. I was so excited to read the positive reviews and thought I was getting an easy vacuum, NOT!  Just beware, it is heavy!,
  
"
2.0 out of 5 stars,"







  
  
    Too awkward with the top being so heavy.  Hard to guide around corners.  Just don't care for it.  Wasn't what I thought it would be..light for me to handle.  Not so. Had to return it.
  
"
2.0 out of 5 stars,"







  
  
    Too heavy for me,,,
  
"
